Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat,pred_elevasi
11/1/2024,2024,November,47,Jakarta Utara,Kelapa gading,841161.6,13069,5.08987079464682
11/1/2024,2024,November,47,Jakarta Utara,Koja,6665.801,104,5.21339290442304
11/1/2024,2024,November,47,Jakarta Utara,Pademangan,109264.93922034,76,4.15813324104026
11/1/2024,2024,November,47,Jakarta Utara,Penjaringan,436049.286321536,8547,1.30290065358722
11/1/2024,2024,November,47,Jakarta Utara,Tanjung Priok,456.962424684448,7,4.15104324011495
12/1/2024,2024,December,48,Jakarta Utara,Cilincing,3396.964,53,2.18822006109755
12/1/2024,2024,December,48,Jakarta Utara,Kelapa gading,850945.8,13221,5.08987079464682
12/1/2024,2024,December,48,Jakarta Utara,Koja,6634.948,103,5.21339290442304
12/1/2024,2024,December,48,Jakarta Utara,Pademangan,108067.320115669,72,4.15813324104026
12/1/2024,2024,December,48,Jakarta Utara,Penjaringan,431710.52342908,8462,1.30290065358722
12/1/2024,2024,December,48,Jakarta Utara,Tanjung Priok,439.483935993512,7,4.15104324011495
1/1/2025,2025,January,49,Jakarta Utara,Cilincing,3360.31,52,2.18822006109755
1/1/2025,2025,January,49,Jakarta Utara,Kelapa gading,860730,13373,5.08987079464682
1/1/2025,2025,January,49,Jakarta Utara,Koja,6604.095,103,5.21339290442304
1/1/2025,2025,January,49,Jakarta Utara,Pademangan,106883.874350968,68,4.15813324104026
1/1/2025,2025,January,49,Jakarta Utara,Penjaringan,427414.931948727,8378,1.30290065358722
1/1/2025,2025,January,49,Jakarta Utara,Tanjung Priok,422.673987100196,7,4.15104324011495
2/1/2025,2025,February,50,Jakarta Utara,Cilincing,3323.656,52,2.18822006109755
2/1/2025,2025,February,50,Jakarta Utara,Kelapa gading,870514.2,13525,5.08987079464682
2/1/2025,2025,February,50,Jakarta Utara,Koja,6573.242,102,5.21339290442304
2/1/2025,2025,February,50,Jakarta Utara,Pademangan,105714.270374649,64,4.15813324104026
2/1/2025,2025,February,50,Jakarta Utara,Penjaringan,423162.082317749,8294,1.30290065358722
2/1/2025,2025,February,50,Jakarta Utara,Tanjung Priok,406.507006831336,6,4.15104324011495
