,Tanggal,Kecamatan,pam,pat,elevasi,bulan,bulan_num,tahun,wilayah
178,2018-05-01,Sawah Besar,359190,5581,4.3916154910000005,May,5,2018,Jakarta Pusat
179,2018-05-01,Gambir,436743,6786,4.3916154910000005,May,5,2018,Jakarta Pusat
180,2018-05-01,Cempaka Putih,155041,2409,6.3916154910000005,May,5,2018,Jakarta Pusat
181,2018-05-01,Johar Baru,1158,18,11.391615491,May,5,2018,Jakarta Pusat
182,2018-05-01,Kemayoran,169973,2641,5.3916154910000005,May,5,2018,Jakarta Pusat
183,2018-05-01,Senen,130907,2034,10.391615491,May,5,2018,Jakarta Pusat
184,2018-05-01,Kramat Jati,1055237,16396,36.364437924,May,5,2018,Jakarta Timur
185,2018-05-01,Ciracas,517771,8045,52.36443792399999,May,5,2018,Jakarta Timur
186,2018-05-01,Cipayung,687938,10689,73.364437924,May,5,2018,Jakarta Timur
187,2018-05-01,Makasar,2564017,39839,29.364437924,May,5,2018,Jakarta Timur
188,2018-05-01,Pasar Rebo,358804,5575,48.36443792399999,May,5,2018,Jakarta Timur
189,2018-05-01,Jatinegara,270502,4203,17.364437924,May,5,2018,Jakarta Timur
190,2018-05-01,Duren sawit,233882,3634,20.364437924,May,5,2018,Jakarta Timur
191,2018-05-01,Matraman,70473,1095,9.364437924,May,5,2018,Jakarta Timur
192,2018-05-01,Pulo Gadung,383711,5962,11.364437924,May,5,2018,Jakarta Timur
193,2018-05-01,Cakung,654600,10171,9.364437924,May,5,2018,Jakarta Timur
194,2018-05-01,Tanjung Priok,10683,166,4.389159601,May,5,2018,Jakarta Utara
195,2018-05-01,Cilincing,7401,115,2.389159601,May,5,2018,Jakarta Utara
196,2018-05-01,Kelapa gading,158903,2469,5.389159601,May,5,2018,Jakarta Utara
197,2018-05-01,Koja,4826,75,5.389159601,May,5,2018,Jakarta Utara
198,2018-05-01,Pademangan,305385,4745,4.389159601,May,5,2018,Jakarta Utara
199,2018-05-01,Penjaringan,1800327,27973,1.389159601,May,5,2018,Jakarta Utara
